Mag,Time
0.033729433272395,0.023768355251519
-0.371023765996344,0.058267824497258
-1.00513711151737,0.121986347820959
-1.30195612431444,0.155624668278587
-1.53131627056673,0.183956625582355
-1.69321755027422,0.219401574570974
-1.89559414990859,0.251288405968037
-2.18566727605119,0.283154154626408
-2.30034734917733,0.315062068762163
-2.60391224862888,0.34603747714808
-2.71859232175503,0.379719584832223
-2.81303473491773,0.413406557763755
-2.93446069469835,0.446199946924574
-2.7927970749543,0.476395293978888
-3.04239488117002,0.509157869906233
-3.06263254113346,0.543749778852391
-3.02890310786106,0.57569337146901
-3.23802559414991,0.605804387568556
-3.19080438756856,0.640412514006015
-3.83840950639854,0.671305213186295
-4.01380255941499,0.701424338031492
-3.64277879341865,0.735223211653005
-3.42691042047532,0.768097688270331
-3.2717550274223,0.801844665919679
-3.19755027422303,0.830249601934305
-2.90073126142596,0.865804829863773
-3.17056672760512,0.897675443769535
-2.81978062157221,0.932356548917851
-2.57018281535649,0.963464940732441
-2.07773308957952,0.992857521967329
-1.83488117001828,1.02751267912956
-2.49597806215722,1.06106342513416
-2.18566727605119,1.09041221914254
